City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Presidente Epitacio,BR,74.01,clear sky,-21.7633,-52.1156,Hotel Itaverá
278,Bilibino,RU,53.47,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
279,Sept-Iles,CA,63.12,mist,50.2001,-66.3821,Comfort Inn
280,Haicheng,CN,77.34,overcast clouds,40.8516,122.7475,Haicheng Grand Hotel
281,Masakin,TN,88.0,clear sky,35.7292,10.5808,DAR EL ANDALOUS Guest house
282,Nagato,JP,80.31,scattered clouds,34.3833,131.2,いそう庵
283,Goderich,CA,68.92,clear sky,43.7501,-81.7165,Harmony Inn
284,Aanekoski,FI,65.68,overcast clouds,62.6946,25.818,Tervahovi
285,Erenhot,CN,75.22,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
287,Omboue,GA,71.8,broken clouds,-1.5746,9.2618,Hotel Olako
288,Pisco,PE,62.65,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
290,Marrakesh,MA,93.27,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
291,Santa Cruz Do Rio Pardo,BR,68.54,scattered clouds,-22.8989,-49.6325,Restaurante e Pousada Os Galeguinhos
292,Trzebinia,PL,69.66,scattered clouds,50.1593,19.4697,Platan
293,Ulaangom,MN,60.39,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
295,Belmonte,BR,71.46,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
296,Port Hardy,CA,71.78,fog,50.6996,-127.4199,Airport Inn-Port Hardy
298,Zhigansk,RU,69.37,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
299,Charters Towers,AU,67.17,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
300,Flinders,AU,62.06,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
301,Mayna,RU,58.78,broken clouds,54.1135,47.6231,Gostinnitsa
302,Nabire,ID,76.39,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
304,Tommot,RU,79.34,broken clouds,58.9564,126.2925,Gostinitsa Tommot
305,Puerto Narino,CO,73.27,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
306,Tuatapere,NZ,45.09,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
307,Salinopolis,BR,79.86,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
308,Sorland,NO,53.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
309,Juneau,US,59.85,light rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
310,Guerrero Negro,MX,75.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
311,Kalangala,UG,73.81,broken clouds,-0.3089,32.225,Ssese Habitat Resort
312,Canala,NC,73.06,clear sky,-21.5333,165.95,Table d’hôte chez Betty
313,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
314,Doha,QA,91.29,clear sky,25.2867,51.5333,Doha Marriott Hotel
315,Kahului,US,82.98,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
316,Geraldton,AU,41.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
317,Coihaique,CL,28.35,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
319,Dickinson,US,94.12,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
320,Antofagasta,CL,58.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
321,Tres Arroyos,AR,53.2,moderate rain,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
322,Kloulklubed,PW,83.05,broken clouds,7.0419,134.2556,Storyboard Beach Resort
324,Polis,CY,76.82,clear sky,35.0367,32.4264,Marion
325,Bobo Dioulasso,BF,77.45,clear sky,11.1771,-4.2979,IBA Hotel
326,Vaitape,PF,77.58,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
327,Svetlyy,RU,64.96,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
328,Olavarria,AR,55.02,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
330,Davila,PH,80.58,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
331,Zwedru,LR,69.53,scattered clouds,6.0667,-8.1281,Elijah Worjloh
332,Port Hedland,AU,59.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
334,Mitsamiouli,KM,75.92,clear sky,-11.3847,43.2844,Foyer ADM
335,Kutum,SD,81.5,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
336,Gizo,SB,83.32,light rain,-8.103,156.8419,Imagination Island
337,Bilma,NE,89.04,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
338,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
339,Rio Grande,BR,62.71,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
340,Acari,PE,65.16,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
341,Dzilam Gonzalez,MX,83.35,broken clouds,21.2833,-88.9333,posadas
