City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Puerto Narino,CO,-3.7703,-70.3831,73.27,97,84,2.75,broken clouds
306,Tuatapere,NZ,-46.1333,167.6833,45.09,94,100,13.78,moderate rain
307,Salinopolis,BR,-0.6136,-47.3561,79.86,82,100,10.6,overcast clouds
308,Sorland,NO,67.667,12.6934,53.46,87,96,16.06,overcast clouds
309,Juneau,US,58.3019,-134.4197,59.85,99,100,2.82,light rain
310,Guerrero Negro,MX,27.9769,-114.0611,75.6,64,1,16.49,clear sky
311,Kalangala,UG,-0.3089,32.225,73.81,68,78,17.02,broken clouds
312,Canala,NC,-21.5333,165.95,73.06,64,5,2.8,clear sky
313,Urumqi,CN,43.801,87.6005,70.75,43,0,4.47,clear sky
314,Doha,QA,25.2867,51.5333,91.29,58,0,8.05,clear sky
315,Kahului,US,20.8947,-156.47,82.98,80,36,15.99,scattered clouds
316,Geraldton,AU,-28.7667,114.6,41.41,87,8,13.8,clear sky
317,Coihaique,CL,-45.5752,-72.0662,28.35,93,20,4.61,few clouds
318,Adrar,MR,20.5022,-10.0711,92.19,29,52,1.66,broken clouds
319,Dickinson,US,29.4608,-95.0513,94.12,65,30,7.0,scattered clouds
320,Antofagasta,CL,-23.65,-70.4,58.28,83,19,4.65,few clouds
321,Tres Arroyos,AR,-38.3739,-60.2798,53.2,91,100,11.05,moderate rain
322,Kloulklubed,PW,7.0419,134.2556,83.05,77,69,8.46,broken clouds
323,Gobabis,NA,-22.45,18.9667,58.51,37,86,9.22,overcast clouds
324,Polis,CY,35.0367,32.4264,76.82,47,0,0.89,clear sky
325,Bobo Dioulasso,BF,11.1771,-4.2979,77.45,88,0,6.91,clear sky
326,Vaitape,PF,-16.5167,-151.75,77.58,77,42,10.38,moderate rain
327,Svetlyy,RU,54.675,20.1347,64.96,64,93,12.64,overcast clouds
328,Olavarria,AR,-36.8927,-60.3225,55.02,97,100,12.39,overcast clouds
329,Ridgecrest,US,35.6225,-117.6709,101.39,18,45,7.0,scattered clouds
330,Davila,PH,18.4726,120.5763,80.58,69,49,2.84,scattered clouds
331,Zwedru,LR,6.0667,-8.1281,69.53,91,45,3.4,scattered clouds
332,Port Hedland,AU,-20.3167,118.5667,59.05,51,30,6.91,scattered clouds
333,Padre Bernardo,BR,-15.35,-48.5,68.94,45,0,5.64,clear sky
334,Mitsamiouli,KM,-11.3847,43.2844,75.92,68,7,8.52,clear sky
335,Kutum,SD,14.2,24.6667,81.5,46,68,6.24,broken clouds
336,Gizo,SB,-8.103,156.8419,83.32,72,32,6.6,light rain
337,Bilma,NE,18.6853,12.9164,89.04,16,32,13.49,scattered clouds
338,The Valley,AI,18.217,-63.0578,84.06,83,20,13.8,few clouds
339,Rio Grande,BR,-32.035,-52.0986,62.71,97,100,8.14,overcast clouds
340,Acari,PE,-15.4311,-74.6158,65.16,75,39,3.6,scattered clouds
341,Dzilam Gonzalez,MX,21.2833,-88.9333,83.35,69,79,8.57,broken clouds
342,Soavinandriana,MG,-19.1667,46.7333,47.52,88,9,4.12,clear sky
